Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
2016-01-04,-1.59,-0.77,0.52,0.35,0.42,0.00,-1.93
2016-01-05,0.13,-0.22,0.00,0.08,0.28,0.00,0.66
2016-01-06,-1.34,-0.23,0.01,0.13,0.02,0.00,1.87
2016-01-07,-2.44,-0.28,0.08,0.50,0.39,0.00,0.84
2016-01-08,-1.11,-0.52,-0.03,0.24,0.06,0.00,-0.09
2016-01-11,-0.06,-0.62,0.40,0.64,0.44,0.00,1.57
2016-01-12,0.72,-0.49,-0.78,-0.10,-0.34,0.00,1.02
2016-01-13,-2.66,-0.59,0.80,0.41,0.73,0.00,0.13
2016-01-14,1.65,-0.04,-0.41,-0.59,-0.45,0.00,-0.65
2016-01-15,-2.13,0.41,-0.22,0.36,0.35,0.00,0.35
2016-01-19,-0.19,-1.37,-0.07,0.35,0.26,0.00,1.60
2016-01-20,-0.94,1.70,-1.26,0.08,-0.57,0.00,-0.12
2016-01-21,0.45,-0.48,-0.01,0.49,0.64,0.00,-2.60
2016-01-22,2.08,0.12,-0.19,-0.48,-0.73,0.00,-0.14
2016-01-25,-1.70,-0.53,-0.98,0.35,-0.04,0.00,1.57
2016-01-26,1.52,0.62,1.18,0.64,0.71,0.00,-1.94
2016-01-27,-1.11,-0.40,1.70,-0.19,1.09,0.00,-0.46
2016-01-28,0.49,-0.56,1.26,-0.29,-0.48,0.00,0.46
2016-01-29,2.57,0.61,0.42,0.00,0.49,0.00,-1.20
2016-02-01,-0.04,-0.31,-1.00,0.08,-0.41,0.00,0.31
2016-02-02,-2.00,-0.15,-0.36,0.28,0.35,0.00,1.25
2016-02-03,0.46,-0.23,0.45,0.41,0.36,0.00,-2.44
2016-02-04,0.27,0.30,0.35,0.23,0.14,0.00,-2.04
2016-02-05,-2.06,-0.70,1.63,1.01,1.39,0.00,-0.77
2016-02-08,-1.51,0.15,0.82,1.69,0.91,0.00,1.10
2016-02-09,-0.08,-0.55,-0.29,-0.03,0.02,0.00,1.76
2016-02-10,0.01,-0.21,-0.55,-0.29,-0.78,0.00,0.64
2016-02-11,-1.17,0.28,-1.47,0.38,-0.38,0.00,0.55
2016-02-12,1.98,-0.25,1.08,-0.40,0.35,0.00,-1.31
2016-02-16,1.78,0.51,-0.52,-0.02,-0.28,0.00,-1.36
2016-02-17,1.74,-0.14,-0.65,-0.39,-0.46,0.00,-2.27
2016-02-18,-0.51,-0.02,0.22,0.39,0.53,0.00,0.18
2016-02-19,0.06,0.29,-0.58,-0.65,-0.39,0.00,1.41
2016-02-22,1.43,-0.19,0.26,0.25,-0.25,0.00,-1.59
2016-02-23,-1.21,0.37,-0.50,0.76,0.46,0.00,1.49
2016-02-24,0.54,0.65,-0.29,-0.03,0.10,0.00,-0.21
2016-02-25,1.10,-0.45,0.22,-0.06,-0.25,0.00,0.43
2016-02-26,-0.02,0.86,0.29,-0.56,0.03,0.00,-1.98
2016-02-29,-0.69,0.70,0.25,0.15,0.43,0.00,-0.88
2016-03-01,2.34,-0.66,0.39,-0.59,-0.59,0.00,-0.15
