Date,AAPL,AMZN,ASML,BAC,BRK-B,FCX,GOOGL,JNJ,JPM,MSFT,MSTR,NEE,NEM,NFLX,NVDA,NVO,O,PG,PLUG,RIG,SPG,TM,URBN,WMT,XOM
2005-01-03,843208641.1876678,172390007820.1294,81036750649.07074,943824029.9224854,109301.71336144209,3422108564.043045,11733045.956492424,89622642.27241135,47602404479.98047,128787294520.28847,101728780444.33594,99982651593.01758,1962867641.2582397,198160388013.83972,4439265421.867371,13047741025.924683,5519583193.610287,819174150.4986029,795510478.0,8315541389.465332,3746118634.2687035,71799977.42271423,7194594278.431892,171089921237.64667,4423816905.873656
2005-01-04,851868220.5862999,173034653816.22314,80201522980.30853,893368047.7142334,104156.4105244875,3283508184.659958,11477075.467735529,88262379.74137115,47486408462.524414,127013205490.59486,100456898025.5127,99664715711.21216,1938963850.6889343,196815373781.20422,4263888569.831848,12804400171.279907,5459163642.857552,811643754.3690958,755400706.0,8290669029.23584,3699986518.595667,69809973.07777405,6956755295.096397,168335813774.37308,4277746818.997979
2005-01-05,859329388.828516,172647780342.10205,80368589443.58826,885524009.7045898,105129.8742967844,3266796042.280197,11024319.753587246,88416958.37931442,47548860687.25586,125544040141.10565,101507524639.89258,99601137417.60254,1913995882.320404,195786691331.8634,4214974975.5859375,12835206319.80896,5217494487.462902,770390710.069612,724649891.0004425,8249215942.3828125,3654708236.664963,69330896.65603638,6856132819.913864,167915415459.5564,4236011676.497698
2005-01-06,859995567.4040318,172454379386.90186,80827936755.3711,870260004.0435791,104110.28328466415,3183062137.4759674,10876663.071036339,88849766.77241135,48226984977.72217,125350014051.06354,102005233163.45215,99887239738.84583,1945072892.1890259,198279123321.5332,4209010752.6779175,12813647594.451904,5264102636.52792,771045558.5986776,721975896.0,8549751457.214355,3554754939.1675186,69908243.81256104,6746362299.63398,168861489234.2931,4345355352.915287
2005-01-07,922612802.10495,171938655433.6548,80180628335.57129,897183973.3123779,102116.72220361233,3272535408.67424,10945565.210670233,90240945.03104019,48173476135.25391,123991737778.83339,103074332556.15234,99521681205.74951,1941354287.0521545,196973631443.02368,4249572238.922119,12782841445.922852,5287406711.060429,766134267.021635,707269000.000885,8336269203.186035,3504351047.656889,69171204.51545715,6686902785.372734,167011392038.75464,4365388748.518109
2005-01-10,918749517.6286697,172776827621.45996,79909235155.29633,887008003.2348633,102348.64222633839,3292962765.9072876,11093221.89322114,90457349.22758865,47932525184.63135,125544040141.10565,103885369766.23535,100300554164.505,1947994366.8365479,197725229152.67944,4226905314.4454956,12832126750.946045,5283089705.572987,765806673.8448868,720638924.000885,8373575202.941895,3485556276.8218517,70669849.32899475,6801248254.491806,168104609169.59717,4349527610.461235
2005-01-11,860128665.3037071,172325475234.98535,79136677467.72766,882768007.2784424,99196.37609177828,3267301999.0825653,10837320.19469142,88927053.14309692,47816568000.79346,125239099435.09483,103774722885.13184,99950829135.89478,1925682736.0153198,197210918518.0664,4242415398.5977173,13072388908.38623,5239935160.8979225,757948974.1024294,689888057.999115,8404666076.660156,3444549770.7287407,69736268.5623169,6622869248.562813,169912616552.00085,4285258537.751913
2005-01-12,872119349.603653,172647780342.10205,79324603693.19916,896760004.0435791,98362.04444289207,3298363854.7725677,10581348.679214716,88911598.22758865,48253760757.44629,124906474767.83371,104161765548.70605,100650234779.35791,1934979344.367981,200138478778.8391,4301286780.357361,13174034729.003906,5214906438.364792,752055433.8621049,742030782.0,8721784858.703613,3432589580.5212593,70792692.14057922,6984200356.678963,170501334660.15677,4342852366.203547
2005-01-13,929940978.4593582,169359910430.9082,78865179639.81628,903120048.5229492,99382.21407973766,3297520269.104004,10689662.485420704,88726109.75862885,47861145111.083984,123354189431.36787,102355456796.26465,98504350783.92029,1944274806.5948486,199980297592.1631,4356555321.69342,13026174455.6427,5275323834.923172,751401212.7212682,752726710.9995575,8850289512.634277,3418920745.156889,69920526.92222595,6888150051.464081,168630258323.38397,4324488547.948122
2005-01-14,935269134.9210739,168392887763.97705,78948723336.21979,944459983.8256836,99706.51515626907,3375852112.049103,11152270.602852106,88525160.47758865,48173476135.25391,124435225984.64394,103000580621.33789,99664715711.21216,1945337456.2263489,202037371885.29968,4398607011.795044,12896809900.283813,5360768661.49807,763514631.6022077,751389739.0004425,8935268806.45752,3570986579.3218517,71443743.81256104,7066530446.828842,171342262820.45618,4326992760.712624
