Date,AAPL,AMZN,ASML,BAC,BRK-B,FCX,GOOGL,JNJ,JPM,MSFT,MSTR,NEE,NEM,NFLX,NVDA,NVO,O,PG,PLUG,RIG,SPG,TM,URBN,WMT,XOM
2016-01-04,132753944784.55353,385435144741.05835,198681816971.9696,15192211812.973022,425130598.20063746,25886031625.854492,4799270302.536011,214863567.0,54560049889.346924,147445096866.44556,169319470385.7422,213135719854.73633,9039089706.420898,398178357261.6577,6398387728.691101,7451583549.499512,35401217055.97284,7251824370.682812,379191615.1797466,4555650069.236755,2669057391.0,197466917.03605652,34109529098.510742,316860248304.1257,57490388832.286835
2016-01-05,129427203602.56577,387193444763.1836,199025311716.84265,15115891885.757446,431959939.7945788,25957269410.476685,4698885206.092834,215685225.0,55856140956.620804,147445096866.44556,169859587970.73364,214026640345.76416,9127240287.780762,401571069934.845,6554683863.639832,7443500873.565674,36106154754.28116,7409108158.234177,371968924.307848,4410449861.526489,2649112777.3691025,198205403.5282135,33765698703.00293,316025515487.6666,58172643055.92728
2016-01-06,126894360086.4315,380159998977.66113,196152176105.1178,15088702354.431152,414098498.44931066,25882282130.767822,5136214054.824829,215816693.28900146,56415401082.55073,144304120436.1534,168217620458.98438,212944869637.29858,9097565517.425537,398229748558.04443,6027183892.250061,7500074192.047119,36017805092.69151,7453026443.729153,366551906.153924,4181760166.168213,2571680800.6308975,195320653.5282135,33058505694.58008,308825299533.73584,57480364624.91226
2016-01-07,121538834519.1822,366937076675.41504,188219946667.099,14499368694.30542,397681677.99414825,25257490392.15088,5000040079.185486,212776548.65899658,57729263888.47004,139099127971.0865,166748516363.5254,210463044224.54834,9137709457.39746,391855545352.9358,5480146903.991699,7621303997.039795,35257647377.204544,7324088311.743507,343078139.29493666,3993000000.0,2605703833.4292297,185812524.394989,32230181913.757324,301494723400.19006,56236239846.13609
2016-01-08,121099414886.0035,368062399745.94116,184003962070.08362,14478142936.706543,389144928.78993356,24913564677.79541,4861683357.36084,210886745.28900146,56406527427.48137,136406903791.40854,164134245407.1045,208214539801.78833,9178729724.884033,383939480895.9961,5284774155.61676,7277820533.752441,34252711675.542755,7250403844.075928,346689484.730886,3902250000.0,2623302193.04718,170950280.1580429,31366691560.36377,294946673425.8539,54941954796.798706
2016-01-11,123060262467.762,367851376716.6138,183722899562.07275,14733098585.128784,389801510.4608165,24987191126.77002,5017934518.783569,210936042.7630005,57010192471.51817,137394034440.59372,165646655509.1858,206963079149.6277,9214514541.625977,378798974704.74243,4210236937.9997253,6873720691.680908,34364999474.82793,7406269808.210907,334049775.70506334,3753420055.3894043,2562295113.261795,175912053.67946625,32159848768.615723,299512043901.02734,54711187146.10863
2016-01-12,124846297814.66103,371227468776.7029,184128857861.7096,14736676849.365234,396368257.8993583,25405419772.43042,5088204044.670105,211659105.81500244,56477559417.92299,137394034440.59372,165300950531.7688,208384315588.3789,9197057266.235352,386560895862.57935,4014865995.4071045,6873720691.680908,34149650871.41597,7428938763.730087,326827063.307848,3731639903.0685425,2586932458.691025,180227646.01802826,32292696231.0791,302172966631.15796,55614179908.85353
2016-01-13,121636468105.77774,363209300041.1987,179069732717.51404,13876168441.77246,384285460.5851531,24527036308.776855,4650875195.93811,207468645.0,54968396807.83099,133714604601.80283,163874988529.20532,205796431278.22876,9130730010.986328,388874177181.2439,3653430409.4314575,7063648075.10376,33915895595.61113,7345339894.378052,315993027.0,3557400069.2367554,2466091761.785385,173477330.57785034,31261214945.983887,299981616966.5062,54309870652.14157
2016-01-14,124296765560.5774,373548568538.6658,181755446347.0459,14143049818.03894,376536718.5060332,24929928732.925415,4672698079.185486,210459492.15600586,55980427091.73191,134522300788.10692,164523168970.4895,209762952490.23438,9224111713.409424,406711514945.9839,4102781539.440155,6978789081.573486,34171722317.01407,7403435062.441635,306964663.4101267,3826019986.152649,2494248823.8926926,176004369.99320984,32390377120.97168,303373041739.3568,55142615495.88776
2016-01-15,121311727676.50795,358637431289.67285,178132810713.95874,13598793371.200562,356048565.34769714,24217537776.58081,4540888347.206116,207287879.2369995,54977282677.15372,129766017710.83832,161995378896.3318,205754003427.12402,9186585498.809814,398795297538.7573,4249309165.95459,7152550128.936768,33897496020.90683,7394935330.451317,299741951.0129113,3579179875.3738403,2483689897.6308975,173004227.35214233,30268794795.22705,293746650472.15784,53296493907.2113
2016-01-19,120724737168.59055,355613177364.34937,178039107552.33765,13701348443.984985,358937903.4102926,24510328768.432617,4708923590.866089,209950055.6705017,55536555017.337006,127791692118.24417,165776223846.43555,206814613861.84692,9409136318.206787,392729686832.428,3868337852.9548645,6590853115.081787,34307924595.03282,7511120260.197487,276268184.153924,3372269986.152649,2439107938.5707703,168861723.97518158,31382329216.003418,300059822643.3747,53376770937.79564
2016-01-20,120887059793.68782,357230877265.9302,173354748077.77405,13460667079.344263,360908065.6466056,24492611748.641968,4702377017.25769,205135139.28900146,54009663418.48636,122855931715.27863,165259764476.01318,203102573913.57422,9190948085.784912,376177376197.81494,3975791961.669922,6691878444.671631,33247778339.77716,7349589760.373211,283490896.55113935,3296039972.305298,2457879313.308975,172727289.4153595,33312467427.06299,290903108750.66003,53065740969.15436
2016-01-21,120275100641.69884,355050408336.6394,172542737524.79553,13537179089.643745,365110759.61573505,24769041307.388306,4467127010.154724,206433360.4335022,54932908294.68026,119894454042.09137,167199344677.73438,203505563386.53564,9167384227.752686,380906446117.4011,4229773438.9305115,6744410671.234131,33626934498.004807,7441692867.033062,310576008.846076,3528360096.9314575,2514193437.52359,173338861.60945892,34132972380.065918,289833472053.8304,53497169318.93349
2016-01-22,126669791415.39383,361308116620.4437,177851732546.99707,14040038756.616669,373647252.06692564,25409512752.731323,4395984635.536194,208766866.14450073,55651961390.25208,121689270161.87668,168594130289.45923,205223751861.57227,9303533657.073975,393603400051.11694,3848801609.992981,6740368595.123291,34477261249.25496,7657068218.394012,328632757.55113935,3546510166.168213,2540004021.8455124,172981151.02481842,35305126556.396484,302485997956.64294,54921896573.62747
2016-01-25,124196859257.93266,357853318058.8254,173823122955.32227,14043569928.189583,373253521.30446637,25005938602.20337,4326151742.134094,203984810.5664978,56326640103.35045,116304843233.92868,167482675018.31055,204481339579.77295,9287823841.09497,380289567020.41626,3848801609.992981,7140427345.275879,34077860117.291336,7635809427.251472,315993027.0,3372269986.152649,2508327243.0601273,168330935.43338776,35055059385.68115,295859742305.43835,55443611448.732376
